Frequency (Hz)	Level (dB)
176.639557	-88.137329
176.976013	-82.704559
177.312469	-82.229469
177.648926	-85.941689
177.985382	-87.101982
178.321838	-91.176384
178.658295	-86.792137
178.994751	-92.454628
179.331207	-87.817337
179.667664	-83.321396
180.004120	-85.576195
180.340576	-92.045700
180.677032	-88.046944
181.013489	-88.751030
181.349945	-87.125282
181.686401	-83.045975
182.022858	-86.010651
182.359314	-91.742584
182.695770	-89.589317
183.032227	-86.248466
183.368683	-87.532509
183.705139	-85.437851
184.041595	-84.875656
184.378052	-86.925552
184.714508	-92.065140
185.050964	-89.281525
185.387421	-89.882431
185.723877	-96.446915
186.060333	-89.077713
186.396790	-88.032990
186.733246	-91.233032
187.069702	-89.906601
187.406158	-89.185196
187.742615	-89.600548
188.079071	-89.557281
188.415527	-85.424706
188.751984	-86.567894
189.088440	-89.024963
189.424896	-86.749031
189.761353	-85.314804
190.097809	-85.392105
190.434265	-88.620522
190.770721	-87.326714
191.107178	-88.525681
191.443634	-88.118347
191.780090	-86.976196
192.116547	-86.844978
192.453003	-90.149635
192.789459	-90.509674
193.125916	-93.844337
193.462372	-88.547287
193.798828	-86.048027
194.135284	-86.023163
194.471741	-87.837158
194.808197	-91.572449
195.144653	-91.983360
195.481110	-86.831116
195.817566	-85.966431
196.154022	-87.361732
196.490479	-93.681328
196.826935	-91.175529
197.163391	-91.839920
197.499847	-89.999481
197.836304	-90.242157
198.172760	-90.341972
198.509216	-91.904602
198.845673	-96.118637
199.182129	-94.470505
199.518585	-95.564377
199.855042	-91.354019
200.191498	-93.613617
200.527954	-94.504715
200.864410	-94.516022
201.200867	-92.155670
201.537323	-92.734741
201.873779	-91.878914
202.210236	-87.409180
202.546692	-85.561897
202.883148	-91.274643
203.219604	-95.318680
203.556061	-94.742241
203.892517	-94.281517
204.228973	-93.213753
204.565430	-93.602341
204.901886	-94.137016
205.238342	-92.765259
205.574799	-87.143967
205.911255	-89.890236
206.247711	-88.901184
206.584167	-94.994263
206.920624	-108.869431
207.257080	-98.817787
207.593536	-95.161720
207.929993	-100.553337
208.266449	-97.781685
208.602905	-91.974648
208.939362	-91.972725
209.275818	-92.699333
209.612274	-90.740700
209.948730	-89.482513
210.285187	-96.815788
210.621643	-89.810898
210.958099	-89.273201
211.294556	-91.246277
211.631012	-97.035843
211.967468	-95.654831
212.303925	-95.062195
212.640381	-100.395622
212.976837	-99.414406
213.313293	-99.320862
213.649750	-97.412750
213.986206	-94.550201
214.322662	-95.473778
214.659119	-97.100555
214.995575	-91.573692
215.332031	-93.722183
215.668488	-93.429138
216.004944	-95.052826
216.341400	-96.168777
216.677856	-99.022774
217.014313	-97.358315
217.350769	-97.616341
217.687225	-93.762108
218.023682	-93.650497
218.360138	-94.286720
218.696594	-90.866989
219.033051	-87.999603
219.369507	-89.056229
219.705963	-92.166031
220.042419	-91.791817
220.378876	-95.904167
220.715332	-93.710419
221.051788	-90.819855
221.388245	-92.334839
221.724701	-91.750267
222.061157	-95.740257
222.397614	-93.958580
222.734070	-97.931664
223.070526	-94.686615
223.406982	-93.899223
223.743439	-93.090981
224.079895	-93.953255
224.416351	-96.661026
224.752808	-97.833321
225.089264	-95.420593
225.425720	-95.216606
225.762177	-96.041718
226.098633	-94.079323
226.435089	-93.813843
226.771545	-94.143921
227.108002	-90.850121
227.444458	-89.749367
227.780914	-100.660828
